Serbia,44.80,20.47
Seychelles,-4.62,55.45
Sierra Leone,8.48,-13.23
Singapore,1.29,103.85
Slovakia,48.15,17.11
Slovenia,46.05,14.51
Solomon Islands,-9.43,159.95
Somalia,2.04,45.34
South Africa,-25.74,28.19
South Georgia and the South Sandwich Islands,-54.28,-36.51
South Korea,37.57,126.98
Spain,40.42,-3.70
Sri Lanka,6.93,79.85
Sudan,15.55,32.53
Suriname,5.87,-55.17
Svalbard and Jan Mayen,78.22,15.64
Swaziland,-26.32,31.13
Sweden,59.33,18.06
Switzerland,46.95,7.45
Syria,33.51,36.29
Taiwan,25.05,121.53
Tajikistan,38.54,68.78
Tanzania,-6.17,35.74
Thailand,13.75,100.50
Togo,6.14,1.21
Tokelau,-171.85,-9.20
Tonga,-21.13,-175.20
Trinidad and Tobago,10.67,-61.52
Tunisia,36.82,10.17
Turkey,39.92,32.85
Turkmenistan,37.95,58.38
Turks and Caicos Islands,21.46,-71.14
Tuvalu,-8.52,179.19
U.S. Virgin Islands,18.34,-64.93
Uganda,0.32,32.58
Ukraine,50.45,30.52
United Arab Emirates,24.47,54.37
United Kingdom,51.51,-0.13
United States,38.90,-77.04
Uruguay,-34.83,-56.17
Uzbekistan,41.26,69.22
Vanuatu,-17.73,168.32
Vatican,41.90,12.45
Venezuela,10.49,-66.88
Vietnam,21.02,105.84
Wallis and Futuna,-13.28,-176.17
Western Sahara,27.16,-13.20
Yemen,15.35,44.21
Zambia,-15.41,28.29
Zimbabwe,-17.83,31.05
